,Crypto,Horizon,Model,SubModel,ROI (%),Max Drawdown (%),Sharpe Ratio,Trades
0,BTCUSDT,1h,SMA,Simple,-34.093998784639034,-36.51781701047126,-1.423567368220145,245.0
1,BTCUSDT,1h,XGBoost,Tree,-17.537318607799534,-18.40496693900018,-1.4521466045753924,326.0
2,BTCUSDT,1h,DeepLearning,LSTM,30.759476035966937,-57.71455065491538,0.219871513732855,499.0
3,BTCUSDT,4h,SMA,Simple,-6.207620729974628,-25.62796304796985,-0.4607926752635045,60.0
4,BTCUSDT,4h,XGBoost,Tree,-10.919293903975847,-19.84577154245506,-1.230667131184146,386.0
5,BTCUSDT,4h,DeepLearning,LSTM,39.88367994447282,-52.55701574833677,0.5053612005743657,102.0
6,BTCUSDT,24h,SMA,Simple,6.150476365547863,-23.24591749474009,1.4412550030922422,8.0
7,BTCUSDT,24h,XGBoost,Tree,-9.003997310171663,-28.979291242474957,-1.7977120088529732,156.0
8,BTCUSDT,24h,DeepLearning,GRU,71.32929651958261,-36.192944039053195,2.3419950960987634,97.0
9,ETHUSDT,1h,SMA,Simple,-11.801199275592333,-47.4810971842649,-0.26365456325176595,238.0
10,ETHUSDT,1h,XGBoost,Tree,-7.3907763007029725,-31.092578806609094,-0.4310140948483298,403.0
11,ETHUSDT,1h,DeepLearning,GRU,-25.646633383877358,-52.94523387169073,-0.28219328467453614,942.0
12,ETHUSDT,4h,SMA,Simple,10.343518495421765,-33.17982581180236,0.4471113825802813,58.0
13,ETHUSDT,4h,XGBoost,Tree,-14.461529050806421,-34.42203832441341,-0.8693857593934956,585.0
14,ETHUSDT,4h,DeepLearning,LSTM,214.1979508739098,-37.77557823753291,1.5300389099029361,109.0
15,ETHUSDT,24h,SMA,Simple,42.865337224874644,-32.455401963635225,4.099793252901255,6.0
16,ETHUSDT,24h,XGBoost,Tree,75.87957735101725,-16.849843962036523,6.626711476344011,156.0
17,ETHUSDT,24h,DeepLearning,LSTM,-17.60628257578416,-58.03417306185633,-0.6381312280992535,51.0
18,LTCUSDT,1h,SMA,Simple,-55.285704080898945,-69.49854520422346,-1.3046766528598952,270.0
19,LTCUSDT,1h,XGBoost,Tree,1.0138499756314756,-15.106947363088105,0.041117648874225234,464.0
20,LTCUSDT,1h,DeepLearning,GRU,90.82030375560122,-48.14735914825163,0.3129078582822605,1058.0
21,LTCUSDT,4h,SMA,Simple,-64.02441887230995,-67.52433448731594,-3.474365222448435,75.0
22,LTCUSDT,4h,XGBoost,Tree,-34.06261785865979,-43.03644714663077,-1.8264821119385333,540.0
23,LTCUSDT,4h,DeepLearning,GRU,95.37104480554335,-50.52961462549609,0.6989322116133583,399.0
24,LTCUSDT,24h,SMA,Simple,-25.30514227680215,-36.84533375191863,-2.980228303019707,12.0
25,LTCUSDT,24h,XGBoost,Tree,33.30919469799581,-43.46082483032337,2.8642661216819767,175.0
26,LTCUSDT,24h,DeepLearning,GRU,-31.46887207926714,-54.27462184053334,-1.1324794218273946,121.0
